phone1,phone2,phone3
0.133846835,-0.263727575,0.892319725
0.14500697,-0.26066155,0.8709897
0.15655119,-0.250129445,0.81378958
0.1778467,-0.240114575,0.7693907
0.20451713,-0.243397475,0.75778522
0.232233415,-0.261422535,0.77831258
0.269687085,-0.29351738,0.8217962
0.315189495,-0.33228697,0.867475865
0.361552029999998,-0.377390949999998,0.8819005
0.410619929999997,-0.418461219999998,0.848889135000003
0.454473385,-0.450197025,0.79755527
0.489018775,-0.467856085,0.76808198
0.52256307,-0.46895479,0.76735585
0.562947,-0.4592418,0.79144548
0.61034361,-0.43364511,0.83481958
0.66306407,-0.400233255,0.8698465
0.71658862,-0.37096587,0.8660306
0.76706388,-0.344445615,0.81802748
0.803187175,-0.31888376,0.78068655
0.82944588,-0.301273215,0.7657605
0.84302775,-0.28945528,0.78171112
0.851238665,-0.283932595,0.82310668
0.8505748,-0.28367308,0.8732844
0.842884870000001,-0.283590185,0.90084955
0.824361270000001,-0.276024300000001,0.884897435000002
0.80690043,-0.263992295,0.8327401
0.789313495,-0.245164575,0.781807925
0.7550672,-0.222615905,0.757664085
0.70503044,-0.20604415,0.76718658
0.6396403,-0.18675655,0.79382215
0.572176305,-0.16579317,0.813693165
0.511720955000006,-0.145176752500002,0.827512014999998
0.454290475,-0.12755846,0.8394098
0.396256415,-0.11353031,0.83995867
0.33848591,-0.09874422,0.8301228
0.277751225,-0.082032451,0.8070158
0.223328105,-0.063769983,0.78975162
0.186365635,-0.0367082215,0.80350524
0.146699285,-0.000663325499999999,0.838826725
0.10735933,0.03983461875,0.87319353
0.0697352385,0.0740255125,0.872800735
0.03251831615,0.108360291,0.82691325
0.004062106,0.149135972,0.7809417
-0.0097450295,0.189469235,0.77513123
-0.008151075,0.21996085,0.794199575
0.0062626925,0.244988425,0.82850561
0.0307631601999969,0.271252374999997,0.864643314999997
0.06261632,0.30028084,0.880129325
0.0904262425,0.332240265,0.8546318
0.1111852,0.36005428,0.80441311
0.119509165,0.375547085,0.782375
0.12175261,0.40146542,0.780087925
0.114510155,0.431771915,0.78629495
0.0999045,0.475495625,0.81230645
0.078660311,0.532076195,0.85484832
0.0634861505,0.5892449,0.88378085
0.0578946825,0.64140115,0.86778757
0.0536239005,0.68420616,0.8118754
0.04418172775,0.718607095,0.77155287
0.039806143,0.747100815,0.75544983
0.0315223705,0.763063535,0.7672211
0.0149196570000026,0.765568925000001,0.805740464999995
-0.0127376785,0.7623523,0.86603925
