Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60
-0.161105253401913,-0.154670666140773,1.07988725,-0.274742890510509,-0.154670666140773,1.066573,-0.237229537357089,-0.129148212370871,0.503328,-0.181958701339988,-0.173474125243262,0.078015,-0.12166018379688,0.0172209917762975,0.011235,-0.0474676162933167,-0.154670666140773,1.0932015,0.0415270163714802,-0.071967409662519,0.504231,0.0524019100175793,-0.178652327065055,0.112559,0.12166018379688,-0.0172209917762975,0.023794,-0.172348308285693,-0.153668956022243,1.238539625,-0.180579777633573,-0.125227769568332,1.483705,-0.184875836033956,-0.0595561317948947,1.65676975,-0.349106739989792,-0.116243193925278,1.475241,-0.402688664640172,-0.169681062958025,1.095619,-0.355436755354222,0.0361247598436689,0.8821,-0.330920672214772,0.11275159108932,0.775304,-0.0120528152773551,-0.134212345211385,1.492169,0.090230398950713,-0.206601775325008,1.132822,0.102091209190783,-0.140634179175845,0.844795,0.120774946015547,-0.141901729771669,0.710586
-0.155419548034014,-0.160656877510629,1.079165,-0.269081595642539,-0.160656877510629,1.0663695,-0.232553296152018,-0.134907613684631,0.503646,-0.175068168708652,-0.180054951909824,0.078131,-0.122309285766442,0.012523257825053,0.010997,-0.0417575004254897,-0.160656877510629,1.0919605,0.0460335493428818,-0.07088259039529,0.504598,0.0592634082591945,-0.176624130468501,0.113318,0.122309285766442,-0.012523257825053,0.02409,-0.167079557804565,-0.161157698315684,1.237596,-0.176123782808956,-0.133484104511787,1.482298,-0.178860584082842,-0.0676761049645263,1.655242,-0.344587091701422,-0.123373126838895,1.473153,-0.397882692987912,-0.172454921962051,1.095551,-0.368090322735504,-0.00850658866541897,0.849656,-0.348803584581707,0.0458282308648498,0.727882,-0.00766047391649049,-0.143595082184679,1.491443,0.100113421699844,-0.191985900122377,1.127241,0.101277670731595,-0.0793475072430298,0.8525115,0.119275768281894,-0.0582362850894,0.719768
-0.148674046493196,-0.167508574198349,1.0789185,-0.262185337874825,-0.167508574198349,1.065961,-0.22613330903642,-0.140709650658684,0.503833,-0.166349230455773,-0.186975803354396,0.07807,-0.122583934622358,0.00735049302778026,0.010578,-0.0351627551115676,-0.167508574198349,1.091876,0.0543015623652979,-0.0714971054164969,0.505975,0.0691075584344431,-0.175081562331617,0.11445,0.122583934622358,-0.00735049302778026,0.024442,-0.160277233394527,-0.168399297998989,1.23733025,-0.169809156476962,-0.140672355098053,1.4819665,-0.172019098939594,-0.0755657044172324,1.65491875,-0.338152789479561,-0.131584218436109,1.472217,-0.390195954270444,-0.184314908309739,1.097543,-0.385372094244404,-0.0612603975250909,0.831355,-0.37871239364503,-0.0326684438855319,0.699406,-0.00146552347436264,-0.149760491759997,1.491716,0.114399534969758,-0.181491456443418,1.124807,0.0978489028420359,-0.0135444592309855,0.8789035,0.107942111940928,0.037748599973804,0.7539
-0.142006923517607,-0.175646375217016,1.07923525,-0.255534703401266,-0.175646375217016,1.066167,-0.218235760512888,-0.148501239544866,0.502951,-0.157169519077492,-0.194679925731828,0.077996,-0.123087846338757,0.00108559508409581,0.010022,-0.0284791436339484,-0.175646375217016,1.0923035,0.0665266853407138,-0.0707494069203245,0.508621,0.0820749027048594,-0.172714483828045,0.116971,0.123087846338757,-0.00108559508409581,0.023823,-0.153223347237521,-0.175185678176137,1.237781625,-0.162369471039513,-0.144773197870319,1.4822845,-0.1651560831958,-0.0825811187604925,1.655142,-0.330806858750664,-0.136327593848488,1.473525,-0.384700368042135,-0.208974107710133,1.102973,-0.399292413206742,-0.114246077418598,0.8272495,-0.403167376915632,-0.101787504576783,0.692993,0.00606791667163702,-0.153218801892151,1.491044,0.132321740202217,-0.168921953865852,1.123562,0.0903412187760159,0.04893729903217,0.922827,0.0893376104125673,0.126558289316711,0.811585
-0.134604644376868,-0.18313083365125,1.08084725,-0.248128073153156,-0.18313083365125,1.0666195,-0.210076015036697,-0.159151234272786,0.503177,-0.148693364423386,-0.201587936567901,0.078118,-0.123228092510688,-0.00459429150438018,0.009787,-0.0210812156005797,-0.18313083365125,1.095075,0.0800107580350162,-0.0711415209347684,0.513393,0.0982846722601415,-0.17090930770431,0.122558,0.123228092510688,0.00459429150438018,0.025199,-0.146115728258616,-0.180262634408065,1.239602875,-0.154906644117968,-0.146376587166832,1.484757,-0.15764591778026,-0.0874777168217391,1.65677525,-0.322952838035956,-0.137748949661229,1.476719,-0.382354555337314,-0.235582629928555,1.112758,-0.406525231749249,-0.155722089878794,0.8328865,-0.413103543613372,-0.149403749569161,0.697605,0.0131395498000195,-0.155004224672435,1.492795,0.146939424790429,-0.154040562101376,1.126137,0.0825796815747966,0.0959239710252614,0.9724865,0.0718812669449552,0.195871643541474,0.88202
-0.126767471458505,-0.186440365193752,1.08258675,-0.239687822172238,-0.186440365193752,1.0672695,-0.201275272784916,-0.166961558587172,0.503746,-0.140470503156575,-0.205484604915888,0.078098,-0.120513073164942,-0.00779961863435733,0.009747,-0.0138471207447715,-0.186440365193752,1.097904,0.0929014394887029,-0.0752299219023048,0.516626,0.116405793017311,-0.17054486540647,0.125303,0.120513073164942,0.00779961863435733,0.035022,-0.138196313336865,-0.182353617202065,1.241600625,-0.146548850019312,-0.145809825832374,1.4882905,-0.147700859280068,-0.0881500826403023,1.659186,-0.314358223874236,-0.137240085307229,1.481389,-0.379532753420795,-0.249042270470958,1.122829,-0.404858735569265,-0.177061977241037,0.839932,-0.41232928945121,-0.173147493118325,0.705031,0.021260523835612,-0.154379566357518,1.495192,0.157007225764122,-0.138202315647582,1.129227,0.0800023362044546,0.127744238543581,1.011654,0.0675347356824809,0.241377819260174,0.940286
-0.138829337248445,-0.183347070053717,1.0838855,-0.25196813944568,-0.183347070053717,1.067989,-0.213906689643578,-0.164574540044097,0.504241,-0.154237071768085,-0.202657855138671,0.078315,-0.133615465562349,-0.00494657654916978,0.01006,-0.0256905350512104,-0.183347070053717,1.099782,0.0788410730162212,-0.0865534919437158,0.514324,0.109097577531201,-0.170067505717064,0.118386,0.133615465562349,0.00494657654916978,0.034279,-0.149927502103161,-0.178731294304853,1.242811,-0.15709675677859,-0.141607866517537,1.4899245,-0.155518302248895,-0.0819139545845749,1.66020625,-0.324488138501322,-0.131438293175721,1.48394,-0.394909906654837,-0.241209239414389,1.125476,-0.417691392564788,-0.16995492038049,0.842763,-0.425754829517077,-0.166827179859531,0.708293,0.0102946249441419,-0.151777439859353,1.495909,0.143130643923732,-0.128130284815799,1.129257,0.0703862382387379,0.145303238088831,1.026389,0.0610071960896958,0.264600848043375,0.965187
-0.145550641380217,-0.178188487763471,1.0826745,-0.258537395157485,-0.178188487763471,1.067892,-0.22293350199953,-0.157818998103763,0.504352,-0.164890439138126,-0.198241703897253,0.078732,-0.139640455995199,-0.0015828343889545,0.010041,-0.0325638876029487,-0.178188487763471,1.097457,0.0656022436487264,-0.103405847641722,0.508322,0.0997504653208518,-0.17472643304756,0.110729,0.139640455995199,0.0015828343889545,0.023997,-0.156077172285287,-0.174532921372903,1.2418465,-0.162328721557757,-0.138406378352568,1.4883765,-0.15842905817891,-0.0751308078797804,1.658863,-0.329940189852814,-0.127613344118626,1.482761,-0.402301595457202,-0.223338732072696,1.120734,-0.419382959353669,-0.143841949496692,0.8398335,-0.426207587898357,-0.138106772278242,0.7052,0.00528274673730013,-0.14919941258651,1.493992,0.131734796024997,-0.126045190834487,1.124876,0.073285730650321,0.146719515110631,1.012601,0.0689125696824961,0.265175578010127,0.949336
-0.145727648164061,-0.17546962804912,1.083529,-0.259321741334107,-0.17546962804912,1.0690715,-0.223734953680249,-0.151997686912324,0.504407,-0.167612619242871,-0.195172448443792,0.079054,-0.139167982131211,0.000819697216655697,0.009798,-0.0321335549940158,-0.17546962804912,1.0979865,0.0609036703994246,-0.100358590289413,0.509091,0.0989655673748046,-0.176223816603157,0.111429,0.139167982131211,-0.000819697216655697,0.022866,-0.155064297973175,-0.172118518158616,1.2425885,-0.160146650072885,-0.137436668598423,1.487195,-0.155162808596617,-0.0697495563491967,1.658291,-0.328554403325187,-0.128573900153299,1.481803,-0.396052412141299,-0.207654134288385,1.114256,-0.405143975120538,-0.110350414524727,0.8385955,-0.409932794474557,-0.0949546574649207,0.704751,0.0082611031794164,-0.146299437043548,1.492587,0.126097724016843,-0.123170123292023,1.121161,0.0833731029565752,0.134342327565225,0.972404,0.085985738262627,0.244322566922155,0.895339
-0.145088471572126,-0.175447237590612,1.0823825,-0.258596597415885,-0.175447237590612,1.069094,-0.225502750354701,-0.15120639072131,0.504282,-0.16998545793923,-0.19450486713625,0.078931,-0.139594718975763,0.00151240555994468,0.009952,-0.031580345728368,-0.175447237590612,1.095671,0.0640601735917468,-0.0859458374553141,0.508674,0.0993565419858013,-0.174462144332585,0.115384,0.139594718975763,-0.00151240555994468,0.021582,-0.153700948320063,-0.171967807361484,1.24166675,-0.157401784291353,-0.137588983204138,1.4864,-0.153436419736246,-0.0685123768040139,1.65654675,-0.325177590943412,-0.130019905155861,1.482521,-0.390689090271976,-0.200311693130869,1.11313,-0.38563551914228,-0.0749581142396501,0.8457,-0.382750459997256,-0.0454783868710038,0.713823,0.0103740223607063,-0.145158061252414,1.490279,0.121865365744083,-0.116295787475561,1.119813,0.0954367416746549,0.102120056370065,0.917748,0.104364699743445,0.190877288355531,0.817171
